,species_richness,ornamentation,environmental_breadth,geographic_range,occurrence,body_size,survival_status,lithology_carbonate,lithology_mixed,lithology_others,lithology_siliciclastic,life_mode_epifaunal,life_mode_infaunal,life_mode_semi-infaunal,motility_mobile,motility_stationary,feeding_mode_carnivore,feeding_mode_chemosymbiotic,feeding_mode_deposit feeder,feeding_mode_herbivore,feeding_mode_photosymbiotic,feeding_mode_suspension feeder,shell_mineralogy_aragonite,shell_mineralogy_low Mg calcite
33,0.0,0.5,0.0,0.07142857142857142,0.0041237113402061865,0.7243225204208933,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
34,0.0,0.5,0.0,0.0,0.0,0.08210781552483429,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
35,0.0,0.0,0.16666666666666666,0.07142857142857142,0.0865979381443299,0.590832945575959,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
36,0.0,0.5,0.16666666666666666,0.07142857142857142,0.006185567010309279,0.6258121958975925,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
37,0.0,1.0,0.0,0.0,0.0,0.1884583973427609,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
38,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0845360824742268,0.2859736576655516,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
39,0.1,0.5,0.6666666666666666,0.3571428571428571,0.030927835051546393,0.5213095828172655,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
40,0.0,0.0,0.0,0.0,0.0,0.48296337871434525,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
41,0.0,0.5,0.0,0.0,0.012371134020618558,0.43778408107972,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
42,0.0,1.0,0.0,0.0,0.0041237113402061865,0.5212618566816177,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
43,0.0,0.5,0.0,0.0,0.0,0.5265494766836958,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
44,0.20000000000000004,0.5,0.5,0.14285714285714285,0.5670103092783505,0.5293503754220034,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
45,0.0,0.0,0.0,0.0,0.0,0.6833720813556888,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
46,0.0,0.0,0.0,0.0,0.0,0.40998532091626116,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
47,0.1,0.5,0.0,0.0,0.010309278350515465,0.4776959364192027,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
48,0.0,0.5,0.0,0.0,0.0041237113402061865,0.6410061050445539,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
49,0.4,0.0,0.33333333333333337,0.07142857142857142,0.10927835051546392,0.6056697212259371,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
50,0.4,0.0,0.5,0.07142857142857142,0.07216494845360824,0.7870934725681387,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
51,0.0,0.0,0.16666666666666666,0.0,0.002061855670103093,0.7985921996039925,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
52,0.0,0.5,0.0,0.0,0.010309278350515465,0.818203582945817,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
53,0.20000000000000004,0.5,0.6666666666666666,0.5714285714285714,0.5134020618556702,0.6206386477419379,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
54,0.0,0.5,0.0,0.0,0.0,0.23811036610298716,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
55,0.1,0.5,0.0,0.0,0.002061855670103093,0.5043028921624707,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
56,0.4,1.0,0.5,0.5714285714285714,0.19175257731958764,0.7589664491499091,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
